gene_id	gene_name	length	Calu3_polyA_series1-S2-24h-A	Calu3_polyA_series1-S2-24h-B	RPKM_1	RPKM_2	Expr
ENSG00000002933.9	TMEM176A	3477	1	0	0.064531712	0	0.032265856
ENSG00000003056.8	M6PR	3585	779	1090	48.75578738	49.26179917	49.00879327
ENSG00000003096.14	KLHL13	6983	1	2	0.032131858	0.046404584	0.039268221
ENSG00000003137.8	CYP26B1	5015	2	3	0.089482258	0.096922197	0.093202227
ENSG00000003147.19	ICA1	4883	184	266	8.454909736	8.826079679	8.640494707
ENSG00000003249.13	DBNDD1	4791	139	217	6.509782915	7.338486412	6.924134663
ENSG00000003393.15	ALS2	10438	211	282	4.535686609	4.377284227	4.456485418
ENSG00000003400.14	CASP10	7598	169	241	4.990743987	5.139142792	5.064943389
ENSG00000003402.20	CFLAR	22479	1172.5	1558.5	11.7034456	11.23318085	11.46831322
ENSG00000003436.16	TFPI	11714	308	399	5.899610957	5.518748558	5.709179758
ENSG00000003509.16	NDUFAF7	3651	72	107	4.424849871	4.748373539	4.586611705
ENSG00000003756.16	RBM5	10368	699.5	794	15.13807341	12.40790459	13.772989
ENSG00000003987.14	MTMR7	6928	0	0	0	0	0
ENSG00000003989.17	SLC7A2	7905	174	217	4.938843342	4.447651916	4.693247629
ENSG00000004059.11	ARF5	1825	293	364.5	36.02322812	32.35993162	34.19157987
ENSG00000004139.14	SARM1	11105	46.5	61.33	0.939533493	0.894802798	0.917168145
ENSG00000004142.12	POLDIP2	2670	457	600	38.40456192	36.40934956	37.40695574
ENSG00000004399.12	PLXND1	9738	25	29	0.576033996	0.482504268	0.529269132
ENSG00000004455.16	AK2	5727	709	915	27.77774129	25.88611298	26.83192714
ENSG00000004468.13	CD38	6857	41	54	1.341614008	1.275946726	1.308780367
ENSG00000004478.8	FKBP4	5163	951	1473	41.32913051	46.22464167	43.77688609
ENSG00000004487.16	KDM1A	5440	451	630	18.60182348	18.76353152	18.6826775
ENSG00000004534.15	RBM6	7299	453.5	580	13.94093186	12.87471314	13.4078225
ENSG00000004660.14	CAMKK1	7424	6	7	0.181338978	0.152768216	0.167053597
ENSG00000004700.16	RECQL	3779	213	303	12.64679819	12.9908829	12.81884054
ENSG00000004766.17	VPS50	9559	171	250	4.013853576	4.237409916	4.125631746
ENSG00000004776.13	HSPB6	1724	0	0	0	0	0
ENSG00000004777.18	ARHGAP33	5260	12	19	0.511886149	0.585249145	0.548567647
ENSG00000004779.10	NDUFAB1	1548	251	374	36.38150343	39.14475482	37.76312913
ENSG00000004799.8	PDK4	4544	21	28	1.036952466	0.998372569	1.017662518
ENSG00000004809.14	SLC22A16	3907	0	0	0	0	0
ENSG00000004838.14	ZMYND10	2889	0	0	0	0	0
ENSG00000004846.16	ABCB5	9257	0	0	0	0	0
ENSG00000004848.8	ARX	3114	0	0	0	0	0
ENSG00000004864.13	SLC25A13	3710	147	205	8.890400011	8.952676316	8.921538164
ENSG00000004866.20	ST7	6742	104.5	143	3.477806533	3.436530642	3.457168588
ENSG00000004897.12	CDC27	6824	395	617	12.98781082	14.64937436	13.81859259
ENSG00000004939.15	SLC4A1	5125	0	0	0	0	0
ENSG00000004948.14	CALCR	4227	0	0	0	0	0
ENSG00000004961.15	HCCS	2343	316	417	30.26165465	28.83611161	29.54888313
ENSG00000004975.12	DVL2	5321	112	148	4.722833559	4.506520883	4.614677221
ENSG00000005001.10	PRSS22	2384	161	186	15.15296087	12.64094741	13.89695414
ENSG00000005007.12	UPF1	8600	573	823	14.94975404	15.50509085	15.22742245
ENSG00000005020.13	SKAP2	5361	389	580	16.28102229	17.52891834	16.90497031
ENSG00000005022.6	SLC25A5	1555	1567	2346	226.108287	244.4390267	235.2736569
ENSG00000005059.16	MCUB	3555	126	176	7.952594103	8.021322805	7.986958454
ENSG00000005073.5	HOXA11	2307	1	9	0.097259108	0.632073884	0.364666496
ENSG00000005075.15	POLR2J	1355	52	64	8.610768733	7.652680999	8.131724866
ENSG00000005100.13	DHX33	5789	163.5	235	6.337122235	6.577142391	6.457132313
ENSG00000005102.13	MEOX1	2674	0	1	0	0.060591476	0.030295738
ENSG00000005108.16	THSD7A	10921	112	128	2.301089403	1.898980451	2.100034927
ENSG00000005156.11	LIG3	12919	112	190	1.945212274	2.382855101	2.164033687
ENSG00000005175.10	RPAP3	5350	180	292	7.549124709	8.843048377	8.196086543
ENSG00000005187.12	ACSM3	7510	48	67	1.434099146	1.445465722	1.439782434
ENSG00000005189.19	REXO5	4114	26	35	1.418034958	1.37840452	1.398219739
ENSG00000005194.15	CIAPIN1	3383	243	324	16.1169238	15.5172924	15.8171081
ENSG00000005206.17	SPPL2B	7419	104	121.5	3.145327304	2.653406803	2.899367053
ENSG00000005238.19	FAM214B	6409	96	127	3.360925132	3.210601327	3.285763229
ENSG00000005243.10	COPZ2	1866	2	1	0.240489563	0.086828299	0.163658931
ENSG00000005249.13	PRKAR2B	4262	4	1	0.21058354	0.038015393	0.124299467
ENSG00000005302.18	MSL3	9780	109	153	2.500722605	2.534693829	2.517708217
ENSG00000005339.14	CREBBP	15492	899	1075	13.0205725	11.24278505	12.13167877
ENSG00000005379.17	TSPOAP1	11389	0	1	0	0.014226149	0.007113074
ENSG00000005381.7	MPO	3526	0	0	0	0	0
ENSG00000005421.8	PON1	2832	2	8.5	0.158458165	0.486293661	0.322375913
ENSG00000005436.13	GCFC2	5465	88	101	3.613020141	2.994360871	3.303690506
ENSG00000005448.16	WDR54	2860	57	79	4.471844561	4.475421971	4.473633266
ENSG00000005469.11	CROT	4979	11	35	0.495710862	1.138934765	0.817322814
ENSG00000005471.17	ABCB4	7727	0	1	0	0.020968242	0.010484121
ENSG00000005483.20	KMT2E	9231	357	396	8.677554339	6.950553113	7.814053726
ENSG00000005486.17	RHBDD2	2390	96	137	9.012623084	9.287430945	9.150027014
ENSG00000005513.10	SOX8	4470	4	5	0.200784575	0.181232221	0.191008398
ENSG00000005700.15	IBTK	8719	617	819	15.87802068	15.21914152	15.5485811
ENSG00000005801.18	ZNF195	11711	321	458	6.150195599	6.336426892	6.243311246
ENSG00000005810.18	MYCBP2	15987	322	445	4.519254233	4.50989019	4.514572211
ENSG00000005812.11	FBXL3	7076	87	104	2.758730683	2.381323767	2.570027225
ENSG00000005844.17	ITGAL	6472	0	1	0	0.025034241	0.01251712
ENSG00000005882.11	PDK2	5481	66	102	2.701854827	3.015180398	2.858517613
ENSG00000005884.18	ITGA3	9802	3546	5214	81.17118942	86.18451859	83.67785401
ENSG00000005889.15	ZFX	9037	357	457	8.86383801	8.193413049	8.52862553
ENSG00000005893.15	LAMP2	5526	720	994	29.23475729	29.14395148	29.18935439
ENSG00000005961.18	ITGA2B	5551	0	0	0	0	0
ENSG00000005981.13	ASB4	4606	0	0	0	0	0
ENSG00000006007.12	GDE1	4390	553	786	28.26431651	29.00887971	28.63659811
ENSG00000006015.17	REX1BD	3370	59	81	3.928257854	3.894287848	3.911272851
ENSG00000006016.11	CRLF1	2967	0	0	0	0	0
ENSG00000006025.12	AC003665.1	6572	71	107	2.424033797	2.63790502	2.530969409
ENSG00000006042.12	TMEM98	5187	6	11	0.259545127	0.343597004	0.301571066
ENSG00000006047.13	YBX2	4631	0	0	0	0	0
ENSG00000006059.3	KRT33A	1287	0	1	0	0.125890913	0.062945457
ENSG00000006062.16	MAP3K14	5784	212	279	8.224044534	7.815357528	8.019701031
ENSG00000006071.13	ABCC8	12588	2	0	0.035649311	0	0.017824655
ENSG00000006116.3	CACNG3	3088	0	0	0	0	0
ENSG00000006118.14	TMEM132A	7271	747	1099	23.05177298	24.48930608	23.77053953
ENSG00000006125.18	AP2B1	7591	1659	2355	49.03715564	50.26490331	49.65102947
ENSG00000006128.12	TAC1	1712	0	0	0	0	0
ENSG00000006194.10	ZNF263	6403	422	565.5	14.78791092	14.30942026	14.54866559
ENSG00000006210.7	CX3CL1	5960	985	1396	37.08240113	37.95002707	37.5162141
ENSG00000006282.21	SPATA20	5337	119	177.5	5.002966966	5.388576912	5.195771939
ENSG00000006283.18	CACNA1G	10062	0	1	0	0.016102326	0.008051163
ENSG00000006327.13	TNFRSF12A	1848	1319	1638	160.1476999	143.6100594	151.8788796
ENSG00000006377.11	DLX6	3445	2	4	0.130262271	0.18812378	0.159193026
ENSG00000006432.15	MAP3K9	12386	215	354	3.894800894	4.630683704	4.262742299
ENSG00000006451.8	RALA	3579	463	645	29.02666692	29.19919966	29.11293329
ENSG00000006453.14	BAIAP2L1	4821	464	702	21.59527435	23.59244287	22.59385861
ENSG00000006459.11	KDM7A	9378	73	69	1.746588147	1.192097545	1.469342846
ENSG00000006468.14	ETV1	9615	85	162	1.983569921	2.729849204	2.356709562
ENSG00000006530.17	AGK	10786	141	212	2.933165536	3.184552232	3.058858884
ENSG00000006534.16	ALDH3B1	6626	68	97	2.30268938	2.371882846	2.337286113
ENSG00000006555.11	TTC22	6111	78	105	2.863915472	2.783876384	2.823895928
ENSG00000006576.16	PHTF2	8646	123	171	3.192035826	3.204452295	3.198244061
ENSG00000006606.8	CCL26	706	0	0	0	0	0
ENSG00000006607.14	FARP2	14371	217	308	3.388056321	3.472455257	3.430255789
ENSG00000006611.16	USH1C	4904	30	37	1.372614777	1.222430547	1.297522662
ENSG00000006625.18	GGCT	1594	222.5	261.5	31.3198429	26.58008146	28.94996218
ENSG00000006634.8	DBF4	4595	101	140	4.931894011	4.936458057	4.934176034
ENSG00000006638.11	TBXA2R	2793	1	2	0.080335396	0.116019768	0.098177582
ENSG00000006652.14	IFRD1	7462	418.5	501	12.58398217	10.87815926	11.73107071
ENSG00000006659.13	LGALS14	904	0	0	0	0	0
ENSG00000006695.11	COX10	3172	82	121	5.800408102	6.180521522	5.990464812
ENSG00000006704.10	GTF2IRD1	6498	110	129	3.798313918	3.216495401	3.507404659
ENSG00000006712.15	PAF1	2850	492	682	38.73451474	38.77148595	38.75300035
ENSG00000006715.16	VPS41	7752	891	1298	25.78943435	27.12900464	26.4592195
ENSG00000006740.17	ARHGAP44	9322	178	314	4.284387864	5.457496689	4.870942277
ENSG00000006744.19	ELAC2	7002	307	459	9.837712938	10.62095358	10.22933326
ENSG00000006747.15	SCIN	11626	157	229.5	3.030031968	3.198344957	3.114188463
ENSG00000006756.16	ARSD	7026	72	119	2.299334881	2.744174645	2.521754763
ENSG00000006757.12	PNPLA4	3411	17	16	1.118265892	0.759995804	0.939130848
ENSG00000006788.14	MYH13	6120	0	0	0	0	0
ENSG00000006831.10	ADIPOR2	5831	551	861	21.20246887	23.92395856	22.56321371
ENSG00000006837.12	CDKL3	3149	4.5	6	0.320640022	0.308710585	0.314675304
ENSG00000007001.12	UPP2	2957	0	0	0	0	0
ENSG00000007038.11	PRSS21	1967	0	0	0	0	0
ENSG00000007047.15	MARK4	6656	219	287.5	7.38258878	6.998379145	7.190483962
ENSG00000007062.11	PROM1	7434	181.5	353	5.478125146	7.693519875	6.585822511
ENSG00000007080.11	CCDC124	1661	179	232	24.1802772	22.63035068	23.40531394
ENSG00000007129.18	CEACAM21	1977	1	0	0.113493557	0	0.056746778
ENSG00000007168.13	PAFAH1B1	8219	577	709	15.75196396	13.97655655	14.86426026
ENSG00000007171.17	NOS2	4369	0	3	0	0.111253105	0.055626553
ENSG00000007174.18	DNAH9	16941	9	19	0.119201397	0.181713624	0.15045751
ENSG00000007202.15	KIAA0100	9232	785	1206	19.07882997	21.16530072	20.12206535
ENSG00000007216.14	SLC13A2	3226	0	0	0	0	0
ENSG00000007237.18	GAS7	10100	11	14	0.244370731	0.224584404	0.234477567
ENSG00000007255.10	TRAPPC6A	933	29	59	6.974197324	10.24573926	8.60996829
ENSG00000007264.15	MATK	4138	0	0	0	0	0
ENSG00000007306.15	CEACAM7	2653	0	0	0	0	0
ENSG00000007312.12	CD79B	2080	0	0	0	0	0
ENSG00000007314.12	SCN4A	8243	1	0	0.027220279	0	0.01361014
ENSG00000007341.19	ST7L	8108	50	95	1.383675149	1.898378456	1.641026803
ENSG00000007350.17	TKTL1	3526	0	0	0	0	0
ENSG00000007372.22	PAX6	20812	1	1	0.010781124	0.007785009	0.009283067
ENSG00000007376.8	RPUSD1	2769	274	388	22.2026843	22.70291908	22.45280169
ENSG00000007384.15	RHBDF1	4914	109	189	4.977018127	6.231600213	5.60430917
ENSG00000007392.16	LUC7L	6176	239	314	8.682973796	8.237497431	8.460235614
ENSG00000007402.11	CACNA2D2	6322	0	1	0	0.02562822	0.01281411
ENSG00000007516.13	BAIAP3	6146	6	10	0.219046628	0.263621226	0.241333927
ENSG00000007520.4	TSR3	1210	243	314	45.06078778	42.04527615	43.55303196
ENSG00000007541.16	PIGQ	7904	266	370.5	7.551141035	7.594762759	7.572951897
ENSG00000007545.15	CRAMP1	8373	222	237.5	5.949079327	4.595740035	5.272409681
ENSG00000007866.21	TEAD3	3049	158	210	11.62726416	11.15924472	11.39325444
ENSG00000007908.16	SELE	4586	2	3	0.097852927	0.105988839	0.101920883
ENSG00000007923.16	DNAJC11	5083	294	366	12.97792014	11.6663206	12.32212037
ENSG00000007933.13	FMO3	3439	0	0	0	0	0
ENSG00000007944.15	MYLIP	3072	90	93.5	6.573537955	4.931321653	5.752429804
ENSG00000007952.18	NOX1	2543	0	0	0	0	0
ENSG00000007968.7	E2F2	5462	32	31	1.314547124	0.919566051	1.117056587
ENSG00000008018.9	PSMB1	2219	453	645	45.80562112	47.09505884	46.45033998
ENSG00000008056.14	SYN1	3733	0.5	1	0.030053143	0.04340252	0.036727831
ENSG00000008083.14	JARID2	6244	89	111	3.198195361	2.880268772	3.039232067
ENSG00000008086.11	CDKL5	17075	222	288	2.917226425	2.732780228	2.825003326
ENSG00000008118.10	CAMK1G	3328	1	1	0.067420902	0.048684377	0.058052639
ENSG00000008128.23	CDK11A	5085	63.5	70.5	2.801951701	2.246317245	2.524134473
ENSG00000008130.15	NADK	5570	367	460	14.78389079	13.38059938	14.08224509
ENSG00000008196.13	TFAP2B	6155	1	1	0.036454389	0.026323575	0.031388982
ENSG00000008197.4	TFAP2D	1856	0	0	0	0	0
ENSG00000008226.19	DLEC1	8338	0	0	0	0	0
ENSG00000008256.16	CYTH3	5808	343	451	13.25090038	12.58122316	12.91606177
ENSG00000008277.14	ADAM22	12199	15	17	0.275895683	0.225786318	0.250841
ENSG00000008282.8	SYPL1	2804	707	987	56.57431201	57.03114289	56.80272745
ENSG00000008283.16	CYB561	5296	273	327	11.56624926	10.00397753	10.7851134
ENSG00000008294.21	SPAG9	11966	1287	1681	24.13278397	22.76101612	23.44690004
ENSG00000008300.17	CELSR3	13850	428.5	517.5	6.941909213	6.053875874	6.497892544
ENSG00000008311.15	AASS	6664	211	255	7.10436627	6.199806334	6.652086302
ENSG00000008323.15	PLEKHG6	4260	138	162	7.268543	6.161384999	6.714964
ENSG00000008324.11	SS18L2	1298	68	98	11.75471481	12.23275604	11.99373543
ENSG00000008382.15	MPND	2049	15	49	1.642582446	3.874601596	2.758592021
ENSG00000008394.13	MGST1	7441	816.5	1131	24.62083407	24.62658727	24.62371067
ENSG00000008405.12	CRY1	4782	147	152	6.897403605	5.149996663	6.023700134
ENSG00000008441.16	NFIX	6302	183	257	6.515542285	6.607355224	6.561448754
ENSG00000008513.16	ST3GAL1	8852	579	867	14.67624778	15.86903886	15.27264332
ENSG00000008516.17	MMP25	4246	6	4	0.317065608	0.152634579	0.234850094
ENSG00000008517.16	IL32	3209	302.5	343	21.15112825	17.31798401	19.23455613
ENSG00000008710.19	PKD1	18532	215	308.5	2.603119138	2.697154398	2.650136768
ENSG00000008735.14	MAPK8IP2	5793	42	58	1.626760575	1.622173851	1.624467213
ENSG00000008838.20	MED24	6962	1603.5	2352.5	51.67884777	54.74803605	53.21344191
ENSG00000008853.16	RHOBTB2	6580	92	102	3.137182693	2.511581119	2.824381906
ENSG00000008869.12	HEATR5B	8238	99	147	2.696443246	2.891135714	2.79378948
ENSG00000008952.17	SEC62	7928	1096	1692	31.01878549	34.57877858	32.79878203
ENSG00000008988.9	RPS20	3002	658	917.5	49.18051616	49.51859529	49.34955573
ENSG00000009307.16	CSDE1	5778	1766	2473	68.5789827	69.34569582	68.96233926
ENSG00000009335.18	UBE3C	9215	809	1070	19.69840484	18.81314356	19.2557742
ENSG00000009413.15	REV3L	12425	449	636	8.108262875	8.293419808	8.200841342
ENSG00000009694.13	TENM1	12896	0	1	0	0.01256371	0.006281855
ENSG00000009709.12	PAX7	6473	0	0	0	0	0
ENSG00000009724.16	MASP2	4251	0	0	0	0	0
ENSG00000009765.14	IYD	10362	0	0	0	0	0
ENSG00000009780.15	FAM76A	4034	40	66	2.224856343	2.650824483	2.437840413
ENSG00000009790.15	TRAF3IP3	7750	1	0	0.02895184	0	0.01447592
ENSG00000009830.11	POMT2	10008	74	132	1.659060792	2.136975612	1.898018202
ENSG00000009844.16	VTA1	7258	247	350	7.635858399	7.813111317	7.724484858
ENSG00000009950.16	MLXIPL	4815	0	8	0	0.269194776	0.134597388
ENSG00000009954.11	BAZ1B	7060	629	868	19.99050757	19.91993677	19.95522217
ENSG00000010017.13	RANBP9	3618	97	153	6.015629058	6.851659935	6.433644497
ENSG00000010030.14	ETV7	2374	265	372	25.04626874	25.38838975	25.21732924
ENSG00000010072.16	SPRTN	5906	114	142	4.331010987	3.895541481	4.113276234
ENSG00000010165.20	EEF1AKNMT	3831	292	462	17.10206592	19.53901899	18.32054246
ENSG00000010219.13	DYRK4	7054	39.5	64	1.256433528	1.47000039	1.363216959
ENSG00000010244.18	ZNF207	15834	1147.5	1595.5	16.26072594	16.32597396	16.29334995
ENSG00000010256.11	UQCRC1	3204	712	909	49.86150271	45.96680382	47.91415326
ENSG00000010270.13	STARD3NL	4348	373	513	19.24851249	19.11616459	19.18233854
ENSG00000010278.14	CD9	4165	501	695	26.98985783	27.03601821	27.01293802
ENSG00000010282.14	HHATL	2891	0	0	0	0	0
ENSG00000010292.13	NCAPD2	6470	595	843	20.63433903	21.11038848	20.87236375
ENSG00000010295.19	IFFO1	5203	1	6	0.043124498	0.186840214	0.114982356
ENSG00000010310.9	GIPR	5069	2	8	0.088529005	0.255705828	0.172117417
ENSG00000010318.21	PHF7	3364	2	1	0.133398788	0.048163379	0.090781084
ENSG00000010319.6	SEMA3G	5011	0	1	0	0.032333188	0.016166594
ENSG00000010322.16	NISCH	9062	228	348	5.645321317	6.221972934	5.933647126
ENSG00000010327.10	STAB1	10588	0	1	0	0.015302381	0.00765119
ENSG00000010361.13	FUZ	2950	64	86	4.867834841	4.723341721	4.795588281
ENSG00000010379.16	SLC6A13	4243	12	8	0.634579577	0.305484997	0.470032287
ENSG00000010404.18	IDS	9294	136	186.83	3.283326841	3.256993389	3.270160115
ENSG00000010438.16	PRSS3	1664	44	42	5.933039385	4.08948764	5.011263512
ENSG00000010539.11	ZNF200	7498	255	286	7.630844806	6.18007191	6.905458358
ENSG00000010610.10	CD4	4557	0	0	0	0	0
ENSG00000010626.15	LRRC23	3052	14.5	12.5	1.066010174	0.663587834	0.864799004
ENSG00000010671.15	BTK	4575	0	1	0	0.035414559	0.017707279
ENSG00000010704.18	HFE	5675	77	101	3.04440717	2.883556327	2.963981749
ENSG00000010803.16	SCMH1	4447	98	149	4.944664424	5.42865285	5.186658637
ENSG00000010810.17	FYN	7411	309	392	9.355339295	8.570026902	8.962683098
ENSG00000010818.10	HIVEP2	10655	1012	1246	21.31105428	18.94687194	20.12896311
ENSG00000010932.17	FMO1	3602	0	0	0	0	0
ENSG00000011007.12	ELOA	5391	382	554	15.89907682	16.64996651	16.27452167
ENSG00000011009.11	LYPLA2	2021	243	356	26.97850233	28.54017396	27.75933814
ENSG00000011021.23	CLCN6	8173	58	77.5	1.59229808	1.536360508	1.564329294
ENSG00000011028.14	AC080038.1	6591	14	16	0.476600618	0.39331599	0.434958304
ENSG00000011052.21	NME1-NME2	1241	1396.33	1963	252.4609221	256.2839739	254.372448
ENSG00000011083.9	SLC6A7	4277	1	0	0.052461249	0	0.026230625
ENSG00000011105.14	TSPAN9	6905	27	50	0.877360258	1.173219446	1.025289852
ENSG00000011114.15	BTBD7	11333	297	386	5.880163979	5.518427577	5.699295778
ENSG00000011132.12	APBA3	5596	101	129.5	4.049687809	3.749427791	3.8995578
ENSG00000011143.16	MKS1	4078	24	36	1.320510616	1.430303531	1.375407074
ENSG00000011198.9	ABHD5	7549	139	165	4.131457139	3.541338576	3.836397858
ENSG00000011201.12	ANOS1	7082	0	0	0	0	0
ENSG00000011243.18	AKAP8L	5079	374	476	16.52232901	15.1845411	15.85343506
ENSG00000011258.16	MBTD1	7184	179	209.5	5.590679347	4.724878391	5.157778869
ENSG00000011260.14	UTP18	2703	343	554	28.47252291	33.20753587	30.84002939
ENSG00000011275.18	RNF216	7619	422	587	12.42774559	12.48283009	12.45528784
ENSG00000011295.16	TTC19	6054	185	299	6.856574332	8.002058152	7.429316242
ENSG00000011304.20	PTBP1	6883	1629	2297	53.10326102	54.06997354	53.58661728
ENSG00000011332.19	DPF1	4800	6	3	0.280470953	0.101263503	0.190867228
ENSG00000011347.9	SYT7	5953	10	13	0.376913761	0.353818389	0.365366075
ENSG00000011376.11	LARS2	12462	230	349	4.141121433	4.537437035	4.339279234
ENSG00000011405.13	PIK3C2A	9204	655	950	15.96770744	16.72322091	16.34546417
ENSG00000011422.12	PLAUR	4457	1499	1891	75.46348811	68.74194661	72.10271736
ENSG00000011426.11	ANLN	5997	1631	2310	61.02359499	62.40952289	61.71655894
ENSG00000011451.19	WIZ	9826	278	347	6.348131476	5.721707421	6.034919449
ENSG00000011454.17	RABGAP1	9151	325	441	7.96879551	7.808056829	7.888426169
ENSG00000011465.17	DCN	12548	0	0	0	0	0
ENSG00000011478.12	QPCTL	2213	78	110	7.908444397	8.053491463	7.98096793
ENSG00000011485.14	PPP5C	7059	468	631	14.87580744	14.48301928	14.67941336
ENSG00000011523.14	CEP68	8623	80	97	2.081658469	1.822578654	1.952118561
ENSG00000011566.15	MAP4K3	6056	242	323.5	8.96617841	8.654885962	8.810532186
ENSG00000011590.14	ZBTB32	2739	4	7	0.327676907	0.414074932	0.37087592
ENSG00000011600.11	TYROBP	907	0	0	0	0	0
ENSG00000011638.10	TMEM159	2558	114	164	9.999589871	10.38762444	10.19360715
ENSG00000011677.13	GABRA3	4150	0	0	0	0	0
ENSG00000012048.22	BRCA1	9306	252.5	381	6.08802197	6.633379723	6.360700847
ENSG00000012061.15	ERCC1	5576	173	250	6.96147415	7.264239846	7.112856998
ENSG00000012124.17	CD22	6165	11	8	0.400347832	0.210247014	0.305297423
ENSG00000012171.19	SEMA3B	5768	38	55	1.478210292	1.544935559	1.511572925
ENSG00000012174.12	MBTPS2	8945	214	343.5	5.367985143	6.221847009	5.794916076
ENSG00000012211.13	PRICKLE3	3656	112	136	6.873686369	6.027061912	6.450374141
ENSG00000012223.12	LTF	4247	0	0	0	0	0
ENSG00000012232.8	EXTL3	13220	377	595	6.398641403	7.292197828	6.845419616
ENSG00000012504.15	NR1H4	3628	24	25	1.484300522	1.116466411	1.300383466
ENSG00000012660.14	ELOVL5	3813	606	875	35.66019352	37.1804104	36.42030196
ENSG00000012779.11	ALOX5	3730	37	72	2.225721233	3.127494798	2.676608016
ENSG00000012817.15	KDM5D	9463	0	0	0	0	0
ENSG00000012822.16	CALCOCO1	8898	62	107	1.563425405	1.94833803	1.755881718
ENSG00000012963.15	UBR7	3509	135.5	190	8.664306434	8.772899701	8.718603067
ENSG00000012983.11	MAP4K5	7620	518	684	15.25290851	14.54367168	14.89829009
ENSG00000013016.16	EHD3	4825	21	22	0.976562074	0.738751362	0.857656718
ENSG00000013275.7	PSMC4	2387	1229	1650	115.5253627	111.9965015	113.7609321
ENSG00000013288.8	MAN2B2	8898	123	207	3.101634272	3.769214694	3.435424483
ENSG00000013293.6	SLC7A14	10496	1	0	0.021377359	0	0.01068868
ENSG00000013297.11	CLDN11	3732	8	15	0.480979126	0.651212241	0.566095683
ENSG00000013306.16	SLC25A39	3526	858	1106	54.5987697	50.82129771	52.7100337
ENSG00000013364.19	MVP	6141	1064.83	1527.67	38.90622174	40.3054138	39.60581777
ENSG00000013374.16	NUB1	5411	1193	1603	49.46987198	47.99863864	48.73425531
ENSG00000013375.16	PGM3	7478	226	351	6.781111026	7.604918901	7.193014964
ENSG00000013392.8	RWDD2A	3769	18	24	1.071579124	1.03171094	1.051645032
ENSG00000013441.16	CLK1	5170	563	617	24.43406521	19.33604074	21.88505297
ENSG00000013503.10	POLR3B	4768	107	128	5.035300661	4.349573303	4.692436982
ENSG00000013523.9	ANGEL1	6414	96.5	134.5	3.375796313	3.397553156	3.386674735
ENSG00000013561.18	RNF14	4988	165	187	7.422246544	6.074186093	6.748216319
ENSG00000013563.14	DNASE1L1	4132	137	196	7.43940378	7.685439178	7.562421479
ENSG00000013573.17	DDX11	8367	169	262	4.53205125	5.073462489	4.80275687
ENSG00000013583.10	HEBP1	3428	34	41	2.225440465	1.937831338	2.081635902
ENSG00000013588.8	GPRC5A	8440	2445	3416.5	65.00014023	65.58611556	65.29312789
ENSG00000013619.14	MAMLD1	5958	62	73	2.334904205	1.98515898	2.160031593
